id,firstName,lastName,house,street,city,state,zip,prod,tag
1,Micheal,Adkins,19,Ofuca Avenue,Kopewevi,PA,77774,Misc,GREEN
2,Rachel,Parks,19,Itmer Manor,Wejitcan,AR,64675,Desktop,YELLOW
3,Julian,Olson,47,Pewih Boulevard,Lithejev,NH,27953,Desktop,BLUE
4,Carl,Kennedy,62,Pekibu Highway,Jerhivme,WV,51677,Misc,BLUE
5,Earl,Armstrong,47,Rejo Extension,Febugiro,MO,05472,Laptop,YELLOW
6,Della,Armstrong,25,Febro Street,Wivgufiv,MD,28380,Desktop,BLUE
7,Milton,George,44,Febos Circle,Nuwacof,MO,58670,Laptop,RED
8,Jeffery,Hughes,39,Zivve Park,Dirhako,NJ,03544,Phone,RED
9,Lura,Thomas,21,Pika Lane,Fasidwu,ID,84200,Tablet,RED
10,Ora,Green,20,Hevhit Extension,Gounnob,NJ,23654,Tablet,WHITE
11,Amelia,Gardner,35,Veko View,Jiwpihe,NH,14911,Tablet,WHITE
12,Barbara,Sullivan,28,Zinkun Lane,Licsuso,LA,93342,Misc,GREEN
13,Timothy,Butler,22,Ibir Key,Mamimasi,SD,28341,Misc,RED
14,Winifred,Greer,38,Maofo Plaza,Wutrapja,NV,14020,Tablet,GREEN
15,Mathilda,McGuire,44,Pomrij Key,Ukijajis,WA,75335,Tablet,YELLOW
16,Roger,Jackson,33,Zeglaf Loop,Ahwajnes,FL,05185,Desktop,YELLOW
17,Allen,Norris,43,Wenul Pike,Suparot,PA,65574,Misc,BLUE
18,Lloyd,Coleman,63,Cuah Lane,Pigpilmal,WA,23346,Tablet,GREEN
19,Barbara,Powell,20,Izvo Grove,Itauvtes,OH,55071,Misc,YELLOW
20,Hattie,Douglas,33,Ilaide Turnpike,Bijilrol,HI,51512,Misc,GREEN
21,Tony,Collins,41,Jalo Path,Gamensi,CT,84648,Desktop,GREEN
22,Minerva,Turner,30,Ovumew Avenue,Guwzakoh,AR,43746,Phone,RED
23,Minerva,Dennis,65,Reldik Terrace,Fufofaw,AL,85298,Misc,GREEN
24,Lettie,Wallace,41,Jovo Place,Ephehjo,ID,76364,Desktop,BLUE
25,Barry,Peterson,33,Vuke Pike,Reehanat,IL,27791,Misc,RED
26,Miguel,Massey,34,Juzas Park,Vennepu,AK,03895,Desktop,BLUE
27,Mattie,Mendez,28,Hiruga View,Padbolozo,VT,80811,Desktop,GREEN
28,Nelle,Lloyd,50,Javic Ridge,Cazeoru,UT,58216,Tablet,WHITE
29,Lou,Hansen,51,Linti Lane,Hefecenej,TN,44840,Tablet,RED
30,Nina,Coleman,36,Zabi View,Fusneniz,WA,56147,Misc,BLUE
31,Virginia,Fletcher,28,Kunoc Place,Fakcorod,NH,99623,Laptop,GREEN
32,Della,Walters,61,Rapwi Place,Zamukufe,IN,49554,Phone,YELLOW
33,Melvin,McGuire,27,Cebor Junction,Lepozuig,MO,58986,Laptop,WHITE
34,Phoebe,Mathis,57,Jupiz Manor,Cuogvap,CA,67720,Desktop,YELLOW
35,Frank,Curry,61,Vacce Lane,Lezvenic,IL,28660,Phone,RED
36,Ora,Dean,38,Tudef Drive,Gusahhi,ND,50081,Desktop,RED
37,Frances,Bates,53,Bokoj Center,Orilevke,SD,00083,Desktop,RED
38,Troy,Patterson,19,Omsac Center,Dahbalof,MA,73871,Phone,RED
39,Jonathan,Reyes,38,Ticge Avenue,Ibetomos,NH,78247,Laptop,GREEN
40,Marvin,McBride,58,Sidi Grove,Ifodejra,NM,79943,Tablet,RED
41,Lucy,Hardy,63,Ganmeb Extension,Fujurwid,MD,88780,Phone,YELLOW
42,Milton,Brady,55,Hapufe Grove,Dejveasi,CA,30447,Laptop,YELLOW
43,Marc,Diaz,21,Sutmu Pike,Vohepneb,WV,98168,Desktop,WHITE
44,Alan,Dunn,62,Terpi Court,Etariknuk,MI,86371,Tablet,YELLOW
45,Alexander,Hall,44,Sucjuh Way,Isutaze,NY,23423,Tablet,BLUE
46,Mason,McDaniel,50,Igueh Terrace,Aksaruc,MD,89001,Laptop,WHITE
